Jugador;Equipo;Liga;Edad;Demarcación;Minutos jugados;PJ;Goles;Asistencias;Goles esperados;Asistencias esperadas;Remates;Remates a puerta;Pases clave;Precisión pases;Pases progresivos;Conducciones progresivas;Regates completados;Centros acertados;Toques en área;Duelos aéreos ganados;% duelos aéreos;% duelos;Entradas ganadas;Intercepciones;Recuperaciones;Despejes;Bloqueos;Faltas cometidas;Tarjetas amarillas;Tarjetas rojas;Paradas;Goles encajados;Porterías a cero;Salidas;Valor de mercado
Artov Silrin;Belgio FC;Primera División Argentina;34;Lateral derecho;1758;31;0;0;2.3;3.18;6.0;2.0;8.0;75.8;74.0;18.0;24.0;20.0;60.0;68.0;46.5;62.3;12.0;14.0;154.0;17.0;16.0;28.0;1;0;;;;;516219
Lunsen Nevju;Belgio FC;Primera División Argentina;21;Extremo izquierdo;2467;28;8;4;9.11;3.35;29.0;8.0;18.0;94.6;117.0;127.0;61.0;9.0;39.0;65.0;64.8;55.3;66.0;37.0;257.0;57.0;21.0;48.0;8;0;;;;;15611624
Kalic Roslan;Belgio FC;Primera División Argentina;19;Mediapunta;667;10;1;0;1.05;0.55;14.0;5.0;9.0;71.3;18.0;5.0;14.0;5.0;21.0;27.0;31.6;44.1;11.0;12.0;48.0;13.0;7.0;12.0;2;1;;;;;6300691
Belgio Rosmir;Belgio FC;Primera División Argentina;30;MC;1749;25;2;2;2.13;1.51;22.0;5.0;28.0;82.8;109.0;120.0;60.0;25.0;76.0;45.0;63.3;65.7;52.0;57.0;228.0;50.0;15.0;35.0;4;0;;;;;4458467
Morzar Jortov;Belgio FC;Primera División Argentina;33;MC;1857;33;1;0;0.7;3.61;21.0;5.0;12.0;85.4;117.0;57.0;51.0;13.0;29.0;55.0;30.2;60.2;42.0;21.0;180.0;50.0;12.0;13.0;6;0;;;;;4404271
Jorlan Arce;Belgio FC;Primera División Argentina;33;Lateral derecho;487;5;0;0;0.71;0.68;4.0;1.0;11.0;70.7;46.0;24.0;5.0;4.0;1.0;8.0;60.2;50.4;13.0;10.0;49.0;9.0;4.0;4.0;4;0;;;;;7175872
Kalba Quice;Belgio FC;Primera División Argentina;24;DC;1554;17;0;1;2.63;4.01;9.0;3.0;30.0;94.3;132.0;75.0;13.0;15.0;95.0;24.0;62.9;58.3;41.0;40.0;104.0;17.0;20.0;10.0;6;0;;;;;4814633
Silba Goltov;Belgio FC;Primera División Argentina;23;Lateral derecho;1156;13;0;0;2.03;1.94;13.0;3.0;17.0;80.3;72.0;25.0;5.0;11.0;10.0;24.0;62.0;48.6;7.0;24.0;102.0;4.0;14.0;28.0;0;0;;;;;3438204
Ivaba Nevic;Belgio FC;Primera División Argentina;26;Delantero centro;1794;26;11;6;9.91;9.12;55.0;19.0;20.0;88.3;77.0;81.0;29.0;16.0;29.0;64.0;66.1;66.3;61.0;53.0;167.0;22.0;16.0;19.0;6;0;;;;;12101763
Nevic Ostic;Belgio FC;Primera División Argentina;32;Pivote;777;12;0;1;0.51;1.66;6.0;2.0;7.0;68.3;54.0;51.0;21.0;2.0;33.0;11.0;35.5;50.1;18.0;19.0;39.0;21.0;6.0;18.0;6;0;;;;;5846404
Mortov Elice;Belgio FC;Primera División Argentina;26;Lateral derecho;1572;25;1;1;2.9;2.73;6.0;1.0;9.0;87.7;85.0;14.0;49.0;16.0;20.0;47.0;55.1;62.0;38.0;54.0;155.0;8.0;2.0;21.0;3;0;;;;;6022088
Beltov Belkov;Belgio FC;Primera División Argentina;21;Lateral derecho;1574;23;1;2;1.58;3.47;17.0;5.0;17.0;94.5;135.0;92.0;3.0;4.0;30.0;58.0;60.0;60.7;46.0;13.0;203.0;11.0;5.0;22.0;6;0;;;;;6732692
Quikov Farce;Belgio FC;Primera División Argentina;19;MC;1695;22;2;1;2.57;0.45;25.0;9.0;27.0;90.7;70.0;56.0;13.0;7.0;87.0;11.0;42.6;63.9;18.0;45.0;138.0;44.0;21.0;29.0;4;0;;;;;7411266
Corrin Kalrin;Belgio FC;Primera División Argentina;19;Lateral derecho;2525;38;1;2;4.21;3.87;39.0;15.0;17.0;75.3;234.0;88.0;28.0;20.0;161.0;26.0;47.7;43.1;70.0;85.0;172.0;92.0;26.0;16.0;5;0;;;;;12265108
Jordin Elitov;Belgio FC;Primera División Argentina;26;Lateral derecho;1241;18;0;0;2.17;3.3;21.0;9.0;23.0;70.1;51.0;61.0;16.0;7.0;80.0;44.0;63.6;54.1;26.0;34.0;59.0;52.0;15.0;9.0;1;0;;;;;1484680
Belnen Joros;Belgio FC;Primera División Argentina;25;Pivote;2120;25;0;1;0.32;2.91;18.0;4.0;25.0;73.3;121.0;37.0;16.0;8.0;51.0;8.0;60.1;53.3;18.0;16.0;85.0;63.0;10.0;19.0;1;0;;;;;1237355
Cornen Kalmir;Belgio FC;Primera División Argentina;25;MC;2630;30;1;0;3.04;4.79;33.0;14.0;45.0;85.8;67.0;82.0;32.0;25.0;52.0;42.0;65.2;63.7;17.0;76.0;270.0;16.0;29.0;24.0;9;0;;;;;5726172
Hendin Golsen;Nevpel FC;Primera División Argentina;23;POR;2560;46;0;0;;;;;62.0;78.8;145.0;92.0;43.0;34.0;9.0;64.0;58.8;55.1;37.0;27.0;319.0;64.0;31.0;13.0;8;1;96.0;54.0;18.0;29.0;4030755
Torce Farpel;Nevpel FC;Primera División Argentina;30;POR;988;12;0;0;;;;;17.0;81.2;52.0;53.0;21.0;1.0;15.0;6.0;41.4;62.1;15.0;37.0;130.0;6.0;3.0;17.0;9;0;32.0;17.0;4.0;12.0;2910022
Nevpel Ivanen;Nevpel FC;Primera División Argentina;19;MC;2473;38;0;0;2.99;1.14;36.0;14.0;34.0;74.3;54.0;128.0;19.0;16.0;23.0;74.0;33.7;43.2;47.0;64.0;202.0;31.0;7.0;41.0;0;0;;;;;4969885
Golgio Nevic;Nevpel FC;Primera División Argentina;19;Extremo izquierdo;2925;44;7;5;7.76;3.62;77.0;20.0;31.0;84.1;112.0;63.0;64.0;48.0;184.0;82.0;60.3;58.3;16.0;70.0;164.0;88.0;32.0;24.0;3;0;;;;;2722062
Quifal Torpel;Nevpel FC;Primera División Argentina;32;Pivote;2482;38;1;2;3.18;4.99;43.0;13.0;25.0;78.2;60.0;31.0;31.0;13.0;29.0;75.0;49.0;53.5;12.0;62.0;148.0;31.0;20.0;32.0;2;0;;;;;1534707
Quipel Elios;Nevpel FC;Primera División Argentina;23;Mediapunta;1364;18;0;0;0.84;0.47;22.0;11.0;9.0;89.0;22.0;13.0;17.0;14.0;26.0;25.0;64.9;57.5;18.0;32.0;72.0;23.0;7.0;33.0;6;0;;;;;986128
Ardin Jordin;Nevpel FC;Primera División Argentina;22;Lateral derecho;1265;16;0;0;1.26;3.05;5.0;1.0;15.0;92.1;82.0;22.0;23.0;12.0;21.0;6.0;65.6;56.4;19.0;9.0;83.0;42.0;14.0;21.0;3;0;;;;;806271
Golmir Ostgio;Nevpel FC;Primera División Argentina;19;DC;1096;15;1;0;0.35;0.6;16.0;4.0;18.0;75.4;81.0;55.0;15.0;10.0;29.0;8.0;65.2;45.6;13.0;22.0;142.0;28.0;11.0;24.0;0;0;;;;;14769671
Kalrin Elimir;Nevpel FC;Primera División Argentina;29;MC;823;14;0;0;1.34;1.92;3.0;1.0;10.0;78.4;33.0;25.0;27.0;6.0;20.0;31.0;40.0;55.7;14.0;17.0;63.0;26.0;11.0;14.0;1;0;;;;;6507577
Pravic Jorez;Nevpel FC;Primera División Argentina;19;Delantero centro;1683;18;3;1;3.39;1.67;76.0;21.0;28.0;64.0;85.0;65.0;15.0;28.0;112.0;42.0;58.4;51.0;10.0;48.0;125.0;48.0;22.0;31.0;3;0;;;;;3869780
Praju Arba;Nevpel FC;Primera División Argentina;20;Pivote;2336;27;1;0;4.46;5.18;30.0;12.0;54.0;86.6;123.0;43.0;14.0;34.0;53.0;55.0;50.0;52.2;40.0;22.0;279.0;89.0;18.0;11.0;2;0;;;;;5845164
Golfal Corpel;Nevpel FC;Primera División Argentina;19;Extremo izquierdo;1514;26;8;6;6.62;6.92;22.0;5.0;44.0;79.0;182.0;64.0;10.0;6.0;37.0;29.0;43.1;49.3;43.0;16.0;135.0;61.0;12.0;28.0;8;0;;;;;35525260
Corce Morkov;Nevpel FC;Primera División Argentina;23;Pivote;2451;37;0;1;2.65;5.56;12.0;5.0;37.0;88.9;101.0;66.0;13.0;33.0;114.0;56.0;62.8;44.9;39.0;43.0;181.0;68.0;19.0;48.0;4;0;;;;;5117386
Lundin Jorsen;Nevpel FC;Primera División Argentina;25;MC;1049;17;0;0;1.85;0.26;4.0;0.0;16.0;77.1;99.0;32.0;14.0;7.0;5.0;7.0;67.0;60.8;15.0;11.0;89.0;33.0;4.0;8.0;1;0;;;;;4090567
Prapel Ostce;Nevpel FC;Primera División Argentina;22;Extremo izquierdo;2195;28;13;9;13.66;6.95;47.0;23.0;51.0;90.1;223.0;148.0;48.0;23.0;61.0;68.0;67.3;59.9;46.0;45.0;330.0;19.0;23.0;46.0;7;0;;;;;18535544
Rosgio Arzar;Nevpel FC;Primera División Argentina;30;Delantero centro;1469;18;9;3;10.41;4.03;19.0;10.0;11.0;76.5;167.0;116.0;50.0;11.0;55.0;15.0;66.3;62.9;24.0;45.0;77.0;61.0;2.0;32.0;3;0;;;;;14982274
Ivaez Kalpel;Nevpel FC;Primera División Argentina;26;Delantero centro;2568;46;6;2;5.37;4.31;111.0;36.0;47.0;90.5;181.0;44.0;29.0;5.0;45.0;95.0;57.9;62.9;59.0;39.0;210.0;19.0;30.0;23.0;3;0;;;;;779795
Henpel Farmir;Nevpel FC;Primera División Argentina;21;Extremo izquierdo;2118;33;3;2;3.23;2.63;100.0;43.0;24.0;79.3;113.0;77.0;50.0;13.0;54.0;80.0;66.1;65.5;23.0;29.0;208.0;24.0;19.0;27.0;0;0;;;;;10177815
Ostdin Morgio;Nevpel FC;Primera División Argentina;21;Lateral derecho;2582;31;0;3;4.23;5.05;7.0;3.0;20.0;76.6;118.0;56.0;28.0;21.0;97.0;99.0;55.5;50.9;17.0;32.0;233.0;32.0;12.0;30.0;6;0;;;;;10227794
Golrin Henrin;Nevpel FC;Primera División Argentina;23;Pivote;1772;29;0;0;0.98;3.03;26.0;11.0;14.0;71.2;144.0;35.0;28.0;3.0;102.0;15.0;48.1;44.4;44.0;32.0;71.0;27.0;10.0;24.0;2;0;;;;;6145726
Nevmir Henkov;Nevpel FC;Primera División Argentina;32;Mediapunta;920;10;1;0;1.01;0.93;28.0;12.0;16.0;67.3;44.0;40.0;23.0;2.0;50.0;26.0;67.9;55.4;6.0;25.0;81.0;3.0;10.0;9.0;6;0;;;;;757820
Tordin Torrin;Nevpel FC;Primera División Argentina;21;Lateral derecho;1574;20;1;0;3.05;2.05;29.0;7.0;11.0;89.4;94.0;47.0;40.0;18.0;17.0;43.0;45.6;52.0;40.0;35.0;131.0;29.0;19.0;35.0;2;0;;;;;2430302
Praju Jorkov;Lunsen FC;Primera División Argentina;19;POR;1525;23;0;0;;;;;11.0;84.7;21.0;69.0;27.0;23.0;61.0;6.0;48.5;49.7;10.0;24.0;105.0;30.0;11.0;37.0;8;0;80.0;31.0;7.0;18.0;1561015
Danfal Silkov;Lunsen FC;Primera División Argentina;27;POR;2347;31;0;0;;;;;52.0;84.7;137.0;157.0;12.0;27.0;57.0;32.0;37.5;44.9;28.0;96.0;277.0;27.0;24.0;26.0;0;0;50.0;39.0;14.0;14.0;18385516
Ostju Danpel;Lunsen FC;Primera División Argentina;32;MC;2211;25;3;3;1.91;4.96;18.0;4.0;23.0;71.5;84.0;164.0;64.0;19.0;14.0;23.0;52.9;60.0;50.0;43.0;290.0;18.0;12.0;20.0;2;0;;;;;13186909
Morkov Nevmir;Lunsen FC;Primera División Argentina;22;Mediapunta;3025;51;7;5;6.64;3.11;67.0;26.0;39.0;73.8;188.0;70.0;81.0;12.0;118.0;62.0;30.9;63.2;85.0;42.0;347.0;63.0;14.0;56.0;2;0;;;;;13938924
Tormir Ivasen;Lunsen FC;Primera División Argentina;24;DC;1701;24;1;0;2.97;3.97;28.0;7.0;12.0;77.1;148.0;56.0;43.0;7.0;30.0;49.0;67.3;45.1;11.0;40.0;167.0;44.0;4.0;39.0;5;0;;;;;4741264
Elirin Henmir;Lunsen FC;Primera División Argentina;23;DC;1974;23;0;0;3.77;1.14;9.0;2.0;29.0;77.5;85.0;36.0;20.0;18.0;100.0;18.0;59.9;50.5;35.0;38.0;149.0;39.0;19.0;40.0;5;0;;;;;230944
Quios Quipel;Lunsen FC;Primera División Argentina;21;MC;2346;34;1;0;4.37;1.1;23.0;7.0;8.0;68.0;91.0;38.0;29.0;35.0;14.0;80.0;50.0;51.5;48.0;26.0;183.0;42.0;19.0;35.0;5;0;;;;;2749141
Beldin Morrin;Lunsen FC;Primera División Argentina;27;Delantero centro;1220;14;4;2;5.17;2.2;48.0;19.0;11.0;76.0;96.0;74.0;42.0;17.0;67.0;52.0;50.1;65.5;31.0;49.0;86.0;43.0;7.0;9.0;6;0;;;;;14785108
Rosvic Kalic;Lunsen FC;Primera División Argentina;20;DC;2620;43;0;1;0.43;2.38;26.0;9.0;16.0;65.9;170.0;109.0;67.0;42.0;174.0;44.0;50.6;52.3;37.0;59.0;321.0;53.0;12.0;48.0;5;0;;;;;4534779
Ivarin Rosnen;Lunsen FC;Primera División Argentina;24;Lateral derecho;2901;51;0;1;4.68;1.83;54.0;18.0;28.0;74.6;315.0;138.0;12.0;17.0;155.0;26.0;56.3;68.9;109.0;51.0;256.0;95.0;14.0;68.0;0;0;;;;;7151448
Kaldin Arfal;Lunsen FC;Primera División Argentina;26;MC;1367;16;0;0;0.59;2.65;13.0;3.0;6.0;66.5;47.0;24.0;24.0;19.0;80.0;18.0;34.6;46.1;26.0;12.0;97.0;43.0;11.0;33.0;0;0;;;;;170942
Farrin Mornen;Lunsen FC;Primera División Argentina;21;Mediapunta;982;11;3;1;2.72;1.42;28.0;9.0;7.0;79.9;38.0;9.0;39.0;3.0;52.0;35.0;56.9;62.8;13.0;8.0;56.0;17.0;11.0;19.0;4;1;;;;;17383323
Ivanen Dangio;Lunsen FC;Primera División Argentina;17;Extremo izquierdo;1393;23;3;1;3.89;2.97;18.0;8.0;22.0;82.3;76.0;10.0;16.0;20.0;62.0;13.0;66.8;45.7;28.0;10.0;128.0;26.0;12.0;22.0;7;0;;;;;2299055
Elilan Jorlan;Lunsen FC;Primera División Argentina;19;Pivote;2705;34;4;2;1.77;3.35;44.0;9.0;73.0;78.6;147.0;190.0;107.0;21.0;118.0;114.0;48.1;47.6;45.0;57.0;405.0;71.0;17.0;37.0;6;0;;;;;25862530
Moric Goltov;Lunsen FC;Primera División Argentina;24;Delantero centro;1726;23;2;1;2.44;1.79;22.0;6.0;27.0;85.6;91.0;87.0;35.0;23.0;80.0;74.0;68.2;51.6;29.0;51.0;176.0;5.0;18.0;10.0;2;0;;;;;1287989
Quidin Kalgio;Lunsen FC;Primera División Argentina;20;Mediapunta;2009;35;5;2;4.81;1.77;83.0;41.0;36.0;86.1;57.0;33.0;22.0;2.0;125.0;75.0;44.1;53.1;15.0;17.0;120.0;81.0;13.0;46.0;6;0;;;;;5253691
Nevfal Pranen;Lunsen FC;Primera División Argentina;25;MC;753;10;0;0;1.36;1.29;1.0;0.0;9.0;82.2;16.0;43.0;13.0;1.0;12.0;11.0;59.4;48.1;23.0;24.0;58.0;21.0;8.0;7.0;4;0;;;;;4027306
Torkov Joric;Lunsen FC;Primera División Argentina;20;Pivote;1213;16;0;1;2.25;0.75;16.0;7.0;29.0;78.6;112.0;63.0;22.0;2.0;8.0;27.0;34.6;49.5;18.0;14.0;65.0;48.0;7.0;10.0;7;0;;;;;4964651
Henba Rosmir;Lunsen FC;Primera División Argentina;25;Mediapunta;1882;32;2;2;3.3;1.61;66.0;21.0;5.0;77.6;66.0;85.0;24.0;29.0;102.0;64.0;63.1;51.1;35.0;16.0;93.0;8.0;17.0;14.0;2;0;;;;;2265468
Coros Farlan;Lunsen FC;Primera División Argentina;29;MC;1481;26;0;1;0.33;0.44;6.0;2.0;15.0;89.7;77.0;56.0;60.0;12.0;38.0;34.0;51.2;53.8;43.0;50.0;119.0;28.0;19.0;19.0;4;0;;;;;8269141
Kalos Golfal;Lunsen FC;Primera División Argentina;17;Pivote;2266;34;0;1;3.55;1.75;9.0;2.0;19.0;91.2;144.0;43.0;7.0;7.0;10.0;93.0;41.9;62.6;34.0;40.0;199.0;14.0;11.0;53.0;2;0;;;;;1963554
Faric Kalba;Lunsen FC;Primera División Argentina;21;Mediapunta;1790;22;4;4;4.87;3.04;77.0;36.0;32.0;80.1;125.0;80.0;9.0;3.0;103.0;33.0;55.2;58.6;36.0;48.0;126.0;30.0;16.0;26.0;5;1;;;;;4839210
Nevez Golos;Lunvic FC;Primera División Argentina;28;POR;1045;17;0;0;;;;;11.0;80.3;69.0;20.0;5.0;9.0;67.0;13.0;34.7;47.7;16.0;10.0;38.0;39.0;11.0;6.0;1;0;41.0;20.0;4.0;9.0;201001
Dandin Corce;Lunvic FC;Primera División Argentina;23;POR;1555;17;0;0;;;;;43.0;71.8;121.0;21.0;39.0;2.0;93.0;10.0;43.8;64.5;25.0;38.0;172.0;18.0;10.0;27.0;9;0;72.0;27.0;1.0;25.0;20463794
Torlan Prafal;Lunvic FC;Primera División Argentina;23;Pivote;1814;31;0;0;0.8;0.69;30.0;13.0;14.0;73.6;122.0;76.0;29.0;11.0;61.0;15.0;58.0;61.9;37.0;19.0;135.0;27.0;18.0;18.0;4;0;;;;;1618057
Praju Quiez;Lunvic FC;Primera División Argentina;24;Extremo izquierdo;1406;17;5;3;5.15;2.99;22.0;10.0;38.0;81.0;149.0;33.0;6.0;15.0;80.0;38.0;63.5;46.4;22.0;33.0;79.0;26.0;12.0;18.0;6;0;;;;;7103765
Joros Farba;Lunvic FC;Primera División Argentina;19;Mediapunta;1884;25;9;5;8.07;6.3;38.0;18.0;18.0;85.3;147.0;72.0;19.0;27.0;25.0;36.0;39.1;66.4;48.0;40.0;127.0;75.0;14.0;43.0;4;0;;;;;17926393
Golzar Torvic;Lunvic FC;Primera División Argentina;23;MC;1724;27;0;1;0.21;3.76;32.0;8.0;15.0;74.6;74.0;22.0;7.0;9.0;42.0;15.0;43.7;56.8;43.0;15.0;116.0;44.0;16.0;40.0;6;0;;;;;9600793
Praez Rosez;Lunvic FC;Primera División Argentina;28;Extremo izquierdo;1033;16;3;2;3.8;1.64;36.0;18.0;6.0;88.8;20.0;33.0;4.0;14.0;22.0;30.0;39.7;48.0;13.0;16.0;48.0;23.0;3.0;7.0;3;0;;;;;2545491
Torhus Danez;Lunvic FC;Primera División Argentina;23;MC;1649;18;1;2;2.33;4.09;27.0;6.0;25.0;94.1;45.0;31.0;19.0;24.0;65.0;13.0;51.8;51.3;32.0;51.0;85.0;33.0;12.0;33.0;3;0;;;;;6391697
Lunos Prahus;Lunvic FC;Primera División Argentina;28;Lateral derecho;1018;15;0;0;0.55;0.7;18.0;4.0;19.0;91.9;23.0;18.0;21.0;14.0;15.0;4.0;45.7;43.2;14.0;26.0;89.0;43.0;9.0;7.0;7;0;;;;;1362161
Nevnen Torce;Lunvic FC;Primera División Argentina;29;Lateral derecho;1328;18;1;0;1.11;2.25;3.0;0.0;29.0;75.8;103.0;49.0;40.0;20.0;79.0;15.0;53.7;55.6;31.0;20.0;114.0;43.0;6.0;29.0;6;0;;;;;4989150
Silos Praez;Lunvic FC;Primera División Argentina;20;Lateral derecho;2424;29;1;2;4.85;5.53;31.0;13.0;28.0;68.0;198.0;51.0;72.0;37.0;76.0;37.0;41.3;61.0;66.0;71.0;261.0;18.0;28.0;19.0;5;0;;;;;8733050
Golce Ostlan;Lunvic FC;Primera División Argentina;28;Mediapunta;975;11;1;1;1.72;0.69;40.0;11.0;13.0;90.4;62.0;44.0;5.0;9.0;46.0;19.0;53.7;46.6;13.0;27.0;96.0;11.0;6.0;24.0;9;0;;;;;1511570
Rossen Belhus;Lunvic FC;Primera División Argentina;25;Lateral derecho;2186;32;2;2;1.55;5.21;33.0;8.0;26.0;67.4;229.0;140.0;68.0;14.0;111.0;27.0;67.4;50.7;42.0;29.0;251.0;22.0;20.0;19.0;3;0;;;;;5806557
Corkov Lunsen;Lunvic FC;Primera División Argentina;26;Mediapunta;746;9;1;0;1.45;1.24;25.0;10.0;7.0;74.9;25.0;22.0;11.0;10.0;46.0;21.0;33.7;62.9;5.0;19.0;75.0;29.0;3.0;14.0;2;0;;;;;1041439
Ostzar Henhus;Lunvic FC;Primera División Argentina;26;Delantero centro;3028;44;14;8;15.48;8.35;96.0;32.0;71.0;95.7;354.0;38.0;56.0;46.0;176.0;60.0;35.2;62.7;108.0;125.0;175.0;121.0;6.0;38.0;1;0;;;;;12006614
Lunkov Jorhus;Lunvic FC;Primera División Argentina;24;MC;1816;29;0;3;1.85;3.64;32.0;10.0;52.0;83.3;125.0;62.0;9.0;13.0;90.0;8.0;62.7;55.7;32.0;55.0;160.0;26.0;5.0;18.0;2;0;;;;;7196866
Golba Nevce;Lunvic FC;Primera División Argentina;23;Delantero centro;1804;25;1;1;1.54;1.05;70.0;23.0;11.0;87.6;97.0;68.0;20.0;17.0;20.0;42.0;64.2;57.6;21.0;22.0;151.0;76.0;10.0;31.0;7;0;;;;;562142
Pradin Elizar;Lunvic FC;Primera División Argentina;24;Mediapunta;389;4;2;0;2.47;1.03;16.0;5.0;4.0;71.8;18.0;11.0;9.0;3.0;23.0;7.0;36.2;59.6;3.0;8.0;29.0;14.0;2.0;6.0;0;0;;;;;12012418
Joric Elitov;Lunvic FC;Primera División Argentina;23;Extremo izquierdo;3055;39;6;2;7.93;2.28;124.0;31.0;62.0;91.1;168.0;73.0;12.0;11.0;48.0;47.0;36.1;45.0;54.0;64.0;170.0;59.0;21.0;47.0;6;0;;;;;3433897
Arfal Cormir;Lunvic FC;Primera División Argentina;21;Extremo izquierdo;785;9;3;1;3.96;2.43;37.0;17.0;18.0;70.6;43.0;57.0;29.0;7.0;11.0;20.0;63.7;64.2;17.0;25.0;110.0;7.0;8.0;9.0;4;0;;;;;24738221
Nevhus Golhus;Lunvic FC;Primera División Argentina;24;DC;1562;18;0;0;0.98;3.82;14.0;4.0;38.0;90.9;30.0;60.0;53.0;12.0;8.0;23.0;69.2;65.2;15.0;28.0;115.0;17.0;10.0;17.0;1;2;;;;;3627907
Henpel Kalkov;Lunvic FC;Primera División Argentina;35;DC;638;11;0;0;1.2;1.34;5.0;1.0;8.0;95.8;18.0;38.0;11.0;2.0;39.0;18.0;33.5;67.3;9.0;12.0;80.0;5.0;2.0;15.0;6;0;;;;;6727025
Roshus Prarin;Danos FC;Primera División Argentina;20;POR;1700;24;0;0;;;;;28.0;69.5;34.0;83.0;20.0;21.0;72.0;48.0;45.2;62.1;38.0;52.0;163.0;74.0;12.0;36.0;8;0;50.0;38.0;9.0;18.0;4669477
Kaltov Cortov;Danos FC;Primera División Argentina;29;POR;1884;33;0;0;;;;;27.0;68.8;54.0;58.0;63.0;15.0;46.0;77.0;42.6;45.0;41.0;49.0;184.0;52.0;14.0;36.0;4;0;80.0;41.0;15.0;21.0;7796878
Tormir Rosvic;Danos FC;Primera División Argentina;28;DC;1275;18;0;0;2.19;2.17;14.0;3.0;15.0;68.9;76.0;52.0;22.0;13.0;70.0;4.0;58.2;47.0;32.0;16.0;58.0;19.0;14.0;22.0;6;0;;;;;2415506
Rosba Kalce;Danos FC;Primera División Argentina;25;Lateral derecho;2017;29;0;4;1.77;3.7;24.0;6.0;23.0;77.0;184.0;85.0;29.0;17.0;38.0;59.0;48.7;65.8;33.0;24.0;144.0;46.0;12.0;36.0;7;0;;;;;11769860
Corsen Lunju;Danos FC;Primera División Argentina;17;MC;2706;40;0;0;0.4;2.26;20.0;4.0;39.0;81.3;243.0;24.0;81.0;19.0;110.0;21.0;31.7;52.9;55.0;53.0;255.0;53.0;4.0;22.0;6;0;;;;;4381210
Rosce Morfal;Danos FC;Primera División Argentina;24;Lateral derecho;3037;40;1;1;1.34;4.52;40.0;17.0;11.0;85.2;129.0;99.0;41.0;10.0;62.0;99.0;44.2;42.7;61.0;52.0;285.0;38.0;40.0;29.0;0;0;;;;;966826
Ivatov Tordin;Danos FC;Primera División Argentina;19;Mediapunta;1624;20;2;1;3.18;1.46;29.0;11.0;33.0;77.9;73.0;89.0;45.0;27.0;63.0;72.0;46.5;50.8;16.0;14.0;99.0;55.0;9.0;39.0;5;0;;;;;7801108
Lunba Nevce;Danos FC;Primera División Argentina;24;Mediapunta;1274;19;3;3;3.55;1.2;19.0;5.0;6.0;87.2;49.0;19.0;11.0;9.0;45.0;6.0;37.3;55.8;11.0;11.0;56.0;43.0;12.0;10.0;0;0;;;;;1546228
Ivaic Arlan;Danos FC;Primera División Argentina;27;Delantero centro;2809;42;3;2;3.59;1.03;68.0;23.0;26.0;86.7;99.0;46.0;37.0;27.0;149.0;66.0;55.5;41.3;58.0;66.0;214.0;109.0;35.0;15.0;6;0;;;;;558263
Lunnen Mordin;Danos FC;Primera División Argentina;25;Delantero centro;1871;30;9;8;9.64;6.93;76.0;22.0;32.0;94.6;106.0;84.0;46.0;10.0;74.0;50.0;37.0;59.7;15.0;57.0;133.0;13.0;13.0;43.0;2;0;;;;;3326020
Jorfal Torba;Danos FC;Primera División Argentina;17;MC;2592;35;0;3;3.49;5.11;9.0;4.0;26.0;91.1;115.0;151.0;58.0;3.0;94.0;29.0;53.6;48.9;51.0;35.0;125.0;69.0;17.0;34.0;2;0;;;;;10639887
Ostvic Golju;Danos FC;Primera División Argentina;22;MC;2634;45;2;0;0.6;2.44;14.0;5.0;47.0;67.2;147.0;142.0;59.0;23.0;68.0;12.0;51.9;57.5;56.0;69.0;128.0;74.0;27.0;20.0;2;0;;;;;11921958
Golzar Cortov;Danos FC;Primera División Argentina;20;Mediapunta;2360;30;10;8;12.06;7.41;111.0;44.0;65.0;93.9;156.0;164.0;97.0;26.0;80.0;71.0;58.3;47.5;57.0;79.0;243.0;8.0;14.0;44.0;8;0;;;;;24493741
Corfal Ivazar;Danos FC;Primera División Argentina;27;Mediapunta;1621;27;2;1;2.14;1.88;32.0;10.0;32.0;85.1;78.0;63.0;44.0;9.0;27.0;52.0;47.1;45.0;13.0;43.0;106.0;51.0;20.0;15.0;9;0;;;;;2741903
Quisen Kalez;Danos FC;Primera División Argentina;24;Mediapunta;2394;40;4;1;4.14;1.28;92.0;31.0;10.0;71.9;130.0;20.0;8.0;19.0;91.0;33.0;35.0;53.4;12.0;47.0;80.0;8.0;14.0;15.0;6;1;;;;;433207
Ivavic Jorzar;Danos FC;Primera División Argentina;33;Extremo izquierdo;1585;18;2;1;3.18;2.09;58.0;21.0;29.0;69.4;45.0;51.0;34.0;19.0;8.0;24.0;54.2;62.6;26.0;46.0;166.0;49.0;15.0;20.0;6;0;;;;;2572589
Kalce Rosgio;Danos FC;Primera División Argentina;33;MC;2343;41;0;0;0.96;3.06;24.0;8.0;15.0;82.3;56.0;131.0;13.0;37.0;11.0;93.0;51.0;61.3;36.0;42.0;193.0;26.0;17.0;47.0;3;0;;;;;2719710
Kalkov Belmir;Danos FC;Primera División Argentina;20;MC;2277;34;3;3;4.27;4.5;26.0;6.0;37.0;88.2;158.0;62.0;69.0;14.0;36.0;15.0;46.6;54.4;51.0;83.0;173.0;73.0;5.0;13.0;2;0;;;;;30894709
Pratov Dance;Danos FC;Primera División Argentina;23;Mediapunta;2101;28;5;3;5.28;4.47;75.0;21.0;12.0;81.6;151.0;134.0;87.0;32.0;10.0;56.0;55.6;58.1;36.0;22.0;146.0;74.0;7.0;26.0;9;0;;;;;20414444
